epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,6779.55,1.19717,0.87463,1.25122,0.91552,0.8705,0.91909,0.56955,1.205,0.98313,1.35279,0.000239766,0.000239766,0.000239766
138,6810.87,1.25692,0.82794,1.25615,0.91619,0.88022,0.92257,0.57003,1.19908,0.98137,1.35035,0.000233234,0.000233234,0.000233234
139,6842.43,1.24468,0.86944,1.26469,0.92732,0.91272,0.9472,0.59194,1.16418,0.95006,1.33204,0.000226769,0.000226769,0.000226769
140,6873.69,1.14098,0.81969,1.21368,0.92609,0.91074,0.94625,0.60271,1.16089,0.94358,1.32509,0.000220372,0.000220372,0.000220372
141,6905.24,1.17839,0.82585,1.21521,0.92321,0.90154,0.94485,0.60312,1.16933,0.9337,1.32087,0.000214046,0.000214046,0.000214046
142,6937.32,1.20191,0.85833,1.233,0.92522,0.90154,0.94305,0.60831,1.17264,0.9341,1.32336,0.000207792,0.000207792,0.000207792
143,6968.81,1.21791,0.83479,1.23618,0.93209,0.90154,0.94228,0.60843,1.16523,0.91431,1.31739,0.000201611,0.000201611,0.000201611
144,7000.44,1.17047,0.83544,1.22756,0.92405,0.90949,0.94341,0.6006,1.16195,0.91582,1.317,0.000195505,0.000195505,0.000195505
145,7032.07,1.20802,0.85898,1.27525,0.93373,0.90154,0.94004,0.59556,1.1702,0.93546,1.31861,0.000189475,0.000189475,0.000189475
146,7063.58,1.18743,0.83357,1.23409,0.93615,0.89468,0.94033,0.59408,1.17272,0.93157,1.31842,0.000183523,0.000183523,0.000183523
147,7095.99,1.16813,0.82961,1.21614,0.93323,0.8981,0.938,0.60906,1.15343,0.94325,1.30967,0.000177651,0.000177651,0.000177651
